	P1_4	P1_4D	P1_5	P1_5D	P1_6	P1_6D	P1_7	P1_7D	P1_8	P1_8D	P1_9	P1_9D	P1_10	P1_10D	P1_11	P1_11D	P1_12	P1_12D	P1_1	P1_1D	P1_2	P1_2D	P1_3	P2_4	P2_4D	P2_5	P2_5D	P2_6	P2_6D	P2_7	P2_7D	P2_8	P2_8D	P2_9	P2_9D	P2_10	P2_10D	P2_11	P2_11D	P2_12	P2_12D	P2_1	P2_1D	P2_2	P2_2D	P2_3	C1_4	C1_4D	C1_5	C1_5D	C1_6	C1_6D	C1_7	C1_7D	C1_8	C1_8D	C1_9	C1_9D	C1_10	C1_10D	C1_11	C1_11D	C1_12	C1_12D	C1_1	C1_1D	C1_2	C1_2D	C1_3	C10_4	C10_4D	C10_5	C10_5D	C10_6	C10_6D	C10_7	C10_7D	C10_8	C10_8D	C10_9	C10_9D	C10_10	C10_10D	C10_11	C10_11D	C10_12	C10_12D	C10_1	C10_1D	C10_2	C10_2D	C10_3	C3_4	C3_4D	C3_5	C3_5D	C3_6	C3_6D	C3_7	C3_7D	C3_8	C3_8D	C3_9	C3_9D	C3_10	C3_10D	C3_11	C3_11D	C3_12	C3_12D	C3_1	C3_1D	C3_2	C3_2D	C3_3	C6_4	C6_4D	C6_5	C6_5D	C6_6	C6_6D	C6_7	C6_7D	C6_8	C6_8D	C6_9	C6_9D	C6_10	C6_10D	C6_11	C6_11D	C6_12	C6_12D	C6_1	C6_1D	C6_2	C6_2D	C6_3	N2_4	N2_4D	N2_5	N2_5D	N2_6	N2_6D	N2_7	N2_7D	N2_8	N2_8D	N2_9	N2_9D	N2_10	N2_10D	N2_11	N2_11D	N2_12	N2_12D	N2_1	N2_1D	N2_2	N2_2D	N2_3	N3_4	N3_4D	N3_5	N3_5D	N3_6	N3_6D	N3_7	N3_7D	N3_8	N3_8D	N3_9	N3_9D	N3_10	N3_10D	N3_11	N3_11D	N3_12	N3_12D	N3_1	N3_1D	N3_2	N3_2D	N3_3	N4_4	N4_4D	N4_5	N4_5D	N4_6	N4_6D	N4_7	N4_7D	N4_8	N4_8D	N4_9	N4_9D	N4_10	N4_10D	N4_11	N4_11D	N4_12	N4_12D	N4_1	N4_1D	N4_2	N4_2D	N4_3	N7_4	N7_4D	N7_5	N7_5D	N7_6	N7_6D	N7_7	N7_7D	N7_8	N7_8D	N7_9	N7_9D	N7_10	N7_10D	N7_11	N7_11D	N7_12	N7_12D	N7_1	N7_1D	N7_2	N7_2D	N7_3
Bacillariophyta	2377	301	47	609	1454	3516	2257	313	4087	1018	2039	3197	666	1607	101	1529	568	1972	1594	4165	8929	223	822	18318	399	6623	2606	543	1053	2270	1739	737	220	3497	2713	134	124	88	29	3	112	104	1584	8813	19782	4173	7715	9925	2922	15024	15362	14662	3749	475	498	776	1673	1074	2757	1130	60	5103	672	146	4796	6186	35895	4963	3031	19034	36377	7916	7629	16604	146	10159	78	4123	17253	215	116	9295	17039	4065	1019	93	103	1109	1746	75690	16714	54436	715	36097	95	16	25	290	17185	472	107	348	1238	169	1429	9062	8073	24076	4727	151	3495	5203	4261	72145	80	64243	8352	25521	29949	310	107	133	3	24	217	119	13754	457	4620	233	5288	576	1619	4209	244	15386	367	676	33243	19708	1296	1587	55870	6465	1187	3936	1101	4970	1326	12	9	64	241	1764	3982	115	249	237	13050	7653	49747	186	169	22	132	11	11	51	3	143	7	8	28	54	339	3	27	21	11	49	22	74	30	90	4087	648	2834	571	109	724	1135	189	1338	4834	1247	1669	2880	125	471	982	829	386	1427	475	6097	23882	13429	1411	141	2993	1765	1035	7257	1317	5	3398	607	42	2053	80	171	107	503	4295	2254	1878	119	4348	2094	2858
Chlorophyta	12177	3291	3152	1358	360	3259	2658	473	4585	2507	312	1230	2576	5545	16709	6246	3808	13662	18402	5487	4014	11618	2262	3599	63	361	1375	400	254	2595	1057	459	4348	6995	681	66	158	2530	99	636	98	52	292	386	514	834	63568	61339	28075	40922	21080	46209	34430	27035	4377	7157	8986	16806	10209	18675	12654	6842	6152	17033	11481	5583	26440	28247	12678	5935	19524	7338	9588	3332	7161	6115	4527	3982	4174	2954	2514	3612	1732	7395	2813	3961	315	989	2854	1907	612	1892	1207	15502	9117	58068	76622	42342	27138	7562	6536	5072	7524	39550	17525	30207	35612	12691	1742	12374	1265	2399	539	1494	16223	12181	2416	16726	5536	28042	63793	7133	19217	1066	1484	808	1815	657	7858	1295	2364	1064	2376	79290	4034	3128	1750	1932	19370	52694	8769	2658	2096	5748	17859	6643	24845	4326	6449	230	911	1275	2718	5076	22718	1666	2074	688	4361	13251	2591	13750	4267	6125	9455	1252	9915	3595	1462	5773	9795	19573	4311	7370	7805	9358	3526	14825	38446	44222	9365	115	807	2378	13357	24272	8821	11779	27595	16986	3012	2515	3543	9624	3865	2170	2133	2158	3267	6059	3194	5085	3153	6635	11988	7343	3300	8709	3397	1069	5924	20134	4596	1766	1707	6246	3016	989	12803	2508	8485	25475	22650	10195	8810	2994	8675	6938	4736	15414
Chrysophyta	64	52	18	15	30	18	223	86	220	365	17	78	12	129	3	558	70	174	160	2388	1256	1145	107	58	769	1387	6484	1490	251	259	10062	384	592	2083	121	40	18	1	60	0	229	127	5484	1467	4488	259	2	0	15	1	4	0	0	5	11	54	10	1	0	53	3	54	10	23	44	2767	164	5	19	73	76	259	7	0	1	12	0	8	15	0	6	8	34	0	175	2	0	2	26	199	811	4	13	434	2711	228	879	12	16	8	47	65	1	65	5	894	511	30949	47023	23	51	157	1	214	0	6	26	19	11	0	10	0	0	1	26	10	2	21	6	0	84	28	337	27	0	2679	2	0	5	5	3	1162	0	43	1	50	5453	11908	4	0	1	2	9	0	12	17	127	19	788	149	47	40	1	2	49	6	1	2	24	141	0	466	10	41	848	1	51775	6	8	3	68	3818	193	20	41	9	73	11	3	61	4	17	188	449	33	16	63	3	16	49	6	37	29	1819	208	1689	461	12	1	19	27	24	57	57	26	54	24	4	510	3	212	6	35	16	341	58	22	38	12	422
Cryptophyta	2929	385	5203	6057	158	865	946	1161	23286	909	441	593	81	2227	11	722	1196	7243	1459	3829	7522	2341	6392	777	167	1478	2375	743	1098	128	792	1206	171	1136	31	106	59	21	69	64	1234	741	3980	586	5583	1514	125	180	1090	6	32	9	6	159	36	702	111	3	51	77	0	4472	23	36	23	4	1508	49	8076	405	2185	1915	345	15	5	1502	10	355	442	2	5	11	416	0	432	137	113	511	9	846	14426	884	175	6465	10454	161	251	38	233	106	18927	128	8	0	4	175	427	2776	28	36	7	1648	126	3384	793	121	254	1352	482	14	4	230	10	257	26	30	846	159	37	0	6294	1279	151	30	29	804	23	97	604	1077	157	848	9	261	17	63	454	143	1	0	0	0	27	329	895	271	27	59	14739	4753	6574	495	23	10	378	4	0	65	423	302	6	501	991	76	969	6	6820	4113	1896	10321	680	78140	18832	1456	3025	390	735	298	50	179	5	112	514	14261	53	40	62	6	22	227	78	238	461	757	20518	9342	37979	45	4	902	199	635	363	162	400	1371	348	2	1367	4	11668	142	821	1152	2771	376	2345	803	108	574
Cyanobacteria	11063	50951	40974	39910	28431	17292	19706	28040	10652	43771	11430	44524	21914	29948	40278	50537	65910	35542	39540	32739	28479	58121	62827	8495	89694	76311	51716	64440	49184	62032	29932	55845	25132	52780	67941	88099	87508	48246	87804	66851	85897	59994	28170	68195	48178	41681	4941	3399	1690	19445	17801	2008	4279	35742	75199	69450	71794	41499	2139	3343	69	266	153	186	2024	473	449	529	23060	7426	5513	13509	18067	38475	26129	27087	45344	51435	40611	46800	36077	47601	14509	23539	12699	27391	15971	37920	47735	1142	2426	3690	79	29	222	39	169	71	2094	2493	7077	15453	40061	7235	35542	7864	264	208	317	542	1092	1190	281	91	271	1145	12134	7100	47842	4684	1352	75474	8334	39371	73019	48898	48242	28969	48258	12600	5591	7021	6090	1223	874	55913	3074	47040	1243	175	337	42853	4505	22541	50227	3361	31044	29355	1775	37	49	122	821	904	1292	1403	2577	366	982	307	337	15678	27952	39477	26309	34516	40484	75882	75542	61311	14186	44685	74594	12310	15483	3042	586	310	685	2584	883	1880	7797	36766	3475	9603	6077	6339	5877	8729	8471	58784	8830	1618	9461	5631	11446	16569	20582	14209	4708	9557	1259	1962	18960	5081	3247	59575	60550	36897	73208	11685	20134	68125	79780	45132	59003	65653	19195	46118	28237	13122	9408	3221	5290	2178	4257	6587	5040	40161
Dinophyta	11	3	114	2	10	26	3	0	6	0	0	0	0	0	3	0	0	0	6	42	811	21	3373	4	0	0	1	0	0	2	2	0	0	0	2	0	0	2	0	0	0	0	4	4	1	0	121	136	25	1172	6114	2586	34	21	1	1	1	80	44	331	35	2531	49	13	20	95	195	3	1737	362	307	254	2028	85	1	484	0	2092	11749	9	3	23	257	9	64	3	0	24	7	333	38	136	28	23631	80	2	5	37	2205	60	50	39	131	0	301	197	1973	4567	92	0	3	52	0	16	0	386	6	140	32	0	0	0	0	3	0	0	14	0	18	4	104	21	10	13	0	16	0	0	21654	6376	767	230	4137	109	71	185	18	273	60	0	1	2	19	19	80	6	0	6	275	46	1189	62	10	4	23	3	0	2	1	15	0	1	0	2	14	2	1	1	0	5	10	84	58	65	471	64	49	37	2	3	23	12	15	64	15	34	45	4	6	4	2	24	26	3	81	3189	1621	37	1	22	24	173	86	237	2	241	63	2	72	1	7	8	49	92	255	294	8	36	69	1
Euglenozoa	2127	7	8	244	9	138	4167	10296	1824	261	227	5241	210	4225	3111	3546	583	602	292	2322	344	375	168	1075	38	108	2129	1558	137	337	468	172	238	546	145	26	136	102	47	8	86	9	214	157	156	121	10	1	135	114	61	1199	3	0	1263	6085	212	55	2565	4147	72	326	87	56	13	2	11	45	68	1072	64	23	162	2	2635	32	560	71	13	26	16377	10876	266	2	15	73	1	2	0	68	455	3	69532	34	411	4529	367	4889	237	586	1092	603	1673	382	408	2512	210	92	2	53	0	103	5	67	7	667	13	3111	251	80	698	2	42	32	12071	31242	8676	44922	311	58	308	20	0	29	125	1021	5	3	61	130	368	347	2177	3121	896	55670	1158	19238	75584	88725	73779	81552	791	1672	2016	55	765	199	28296	5331	3540	410	3	1654	3894	1	4291	44	109	52	142	1245	604	19181	11337	5867	213	554	2068	1685	2431	65	58	41	590	90	35	4705	184	3538	144	27	1147	8918	105	20	1	42	8	11	17	87	76	777	179	273	574	82	50	37	89	729	404	39	204	43	63	16	2512	4	186	411	786	10	67	9	0	41	142	22
Glaucophyta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	723	1	0	1	0	0	0	0	0	0
Haptophyta	205	300	1169	13	23	669	131	264	181	37	70	4	9	5	0	56	24	9	16	204	1979	363	198	130	39	550	1715	73	17	7	5	44	0	21	5	243	47	0	1	0	1	3	40	502	808	79	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	3	89	78	1127	1884	10	1	0	0	0	0	0	0	0	0	0	0	8	1	151	56	0	9	1661	12	1	28	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	4	0	0	1	0	17	1003	5	1	0	0	0	0	0	0	0	0	0	0	26	102	1	9	19	1766	7	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	18	2	19	0	0	0	0	0	0	0	0	0	0	0	5	207	8	100	50	5	0	3216	146	0	0	103	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Ochrophyta	15299	5478	3041	23823	33497	9673	9246	3979	26391	27269	70030	4057	6196	6520	1531	3100	1456	6987	6614	4630	243	1544	883	7988	186	429	10722	3323	1378	3225	4268	1617	959	2920	864	377	3093	1399	223	5905	577	6020	2793	1367	3055	410	3042	3579	13971	3277	4358	7783	11905	2487	4756	267	373	10890	21856	14621	39616	23744	61746	44320	41034	9852	4723	12750	14526	8601	10105	41740	11104	1846	6119	2874	3430	5717	404	2977	3882	1569	2483	837	183	127	155	70	2059	337	10294	15007	78	74	485	5282	6614	15911	9501	3984	2636	917	3367	4952	5343	2861	1303	132	23	41	36	391	56	125	2300	2208	37066	21945	1252	893	341	1092	96	716	236	97	1109	1922	6949	37836	4340	12238	25121	1012	1201	1714	25331	29606	102	3418	2938	346	195	451	13568	1385	105	401	498	43	303	571	1091	390	883	852	707	30	28	224	102	16676	8873	2769	4863	1051	3697	2476	227	3701	16748	7066	2339	10853	8483	46936	2572	9779	9862	10544	3792	59	1418	906	1501	7006	5310	6745	10946	4982	1621	5457	5584	3514	3188	5410	2158	2497	4335	14570	48122	17318	71116	45299	4908	3133	1110	973	2758	1493	3033	19014	4505	283	323	4885	15647	2638	6962	10532	2260	4853	6652	16012	8073	1936	11809	7860	57668	1183
