	WT	pH	NH4+-N	TN	NO3-	TP	NO2-	PO43-	COD	SD
P1_4	17.9	8.44	0.281	1.507	0.45	0.06204	0.23	0.031	4.723809524	0.906865565
P1_4D	23.1	9.6	0.20136	1.487	0.3	0.075	0.011	0.008	4.697247706	0.935478743
P1_5	24.3	8.92	0.1364	0.644	0	0.057	0	0.007	4.452830189	1.001869682
P1_5D	24.9	7.53	0.1364	1.017	0.05	0.081	0.005	0.006	5.257142857	0.89852357
P1_6	29.8	7.23	0.0746	0.504	0	0.061	0	0.004	4.428571429	0.91238489
P1_6D	30.3	7.88	0.15588	0.796	0	0.058	0	0	5.777777778	1.10805181
P1_7	32.8	6.25	0.14996	0.777	0	0.08	0	0.004	5.561904762	0.837534186
P1_7D	32.2	8.62	0.31472	0.607	0	0.073	0	0.009	4.530973451	1.038197086
P1_8	29.1	8.33	0.34412	0.547	0.1	0.062	0.002	0.012	4.814159292	0.886528204
P1_8D	27.9	7.27	0.18892	1.071	0	0.08	0.002	0.009	4.3852	0.712613172
P1_9	30.7	7.69	0.45176	1.274	0.1	0.106	0	0.014	25.40740741	0.939957785
P1_9D	31.8	9.09	0.12704	0.718	0.023	0.088	0	0.01648	4.666666667	1.24928963
P1_10	27.2	8.62	0.1328	0.669	0.051	0.054	0	0.01524	5.333333333	1.159223975
P1_10D	22.4	7.77	0.25564	1.13	0.014	0.03	0	0.011	4.1	1.078504651
P1_11	19.1	8.54	0.2	0.86	0.16	0.077	0.006	0.021	4.5	1.017663386
P1_11D	15.3	8.75	0.094	0.7	0.223	0.028	0.008	0	4.6	0.97955482
P1_12	13.8	8.83	0.079	0.77	0.234	0.031	0.006	0.004	4.4	0.891596147
P1_12D	12.3	8.79	0.222	0.76	0.279	0.025	0.004	0.008	4.2	0.960264528
P1_1	9.9	8.36	0.333	0.81	0.304	0.025	0.004	0.005	4.4	0.904452529
P1_1D	9.5	8.9	0.282	0.945	0.377	0.051	0.002	0.005	4.3	0.98747083
P1_2	8.2	8.62	0.232	1	0.563	0.044	0.006	0.002	4.1	0.864700933
P1_2D	12.7	9.31	0.156	0.94	0.543	0.037	0.005	0.013	5	1.029974541
P1_3	17.8	6.4	0.168	0.59	0.403	0.041	0.004	0.004	4.4	0.905053527
P2_4	20.2	7.98	0.27504	1.457	0.4	0.02292	0.018	0.01	5.561904762	0.959132184
P2_4D	23.1	8.26	0.1364	1.153	0.4	0.027	0.003	0.002	2.788990826	0.952447626
P2_5	26.2	8.71	0.1364	0.704	0.15	0.02	0.003	0.002	3.094339623	1.108751375
P2_5D	22.7	8.11	0.1364	0.755	0.4	0.052	0.004	0.001	3.733333333	0.741337604
P2_6	29.7	7.16	0.09204	0.463	0.4	0.035	0	0.004	2.142857143	0.842124801
P2_6D	28.4	8.2	0.0804	0.837	0.15	0.032	0.002	0.002	2	0.817894364
P2_7	28.4	7.48	0.19116	0.327	0.2	0.022	0.001	0.002	2.438095238	0.916766829
P2_7D	32.8	8.4	0.40884	0.297	0.1	0.024	0.002	0.006	2.896551724	1.072403059
P2_8	29.1	8.28	0.22644	0.597	0.2	0.035	0	0.008	2.407079646	0.911765353
P2_8D	28.8	8.04	0.1714	0.684	0.2	0.061	0.002	0.004	2.5804	0.703317254
P2_9	30.8	8.77	0.16556	0.206	0	0.051	0	0.006	3.555555556	0.952447626
P2_9D	30.5	8.9	0.29984	0.461	0.039	0.027	0	0.03	2.740740741	1.224274603
P2_10	28.6	9.32	0.22496	0.195	0.055	0.04	0	0.0446	4.571428571	1.095794932
P2_10D	21.9	8.45	0.2078	0.54	0.062	0.024	0	0.024	3.8	1.05892932
P2_11	17.4	8.69	0.125	0.76	0.06	0.07	0.001	0.01	4.7	1.028966171
P2_11D	15.5	9.58	0.067	0.6	0.035	0.051	0.001	0.004	5.8	0.972287938
P2_12	13.9	9.06	0.091	0.47	0.083	0.023	0.002	0.006	5.3	0.969127237
P2_12D	12	8.79	0.123	0.79	0.148	0.027	0	0.011	6.4	0.960643161
P2_1	9.7	8.27	0.424	0.77	0.115	0.027	0	0.008	5.2	0.958755916
P2_1D	10.3	8.9	0.378	0.711	0.184	0.038	0.006	0.004	4.4	0.954655275
P2_2	9.2	8.91	0.215	1.21	0.901	0.042	0.002	0.001	3.2	0.814151407
P2_2D	13.4	9	0.139	0.92	0.77	0.022	0.002	0.012	3.3	0.970702406
P2_3	17.1	6.44	0.171	0.97	0.856	0.022	0.003	0.001	2.9	0.899992192
C1_4	17.4	8.35	0.26904	5.103	0.7	0.10788	0.028	0.012	3.228070175	0.839589148
C1_4D	23.6	9.02	0.14232	1.771	0.6	0.123	0.038	0.011	4.403669725	0.765377452
C1_5	25	8.91	0.18364	1.198	0	0.149	0.007	0.022	11.24528302	0.940654317
C1_5D	24.3	7.46	0.13048	2.53	1.3	0.218	0.065	0.002	5.638095238	0.790208218
C1_6	29.7	8.08	0.0572	1.614	1.1	0.09	0.033	0.01	3	0.770487184
C1_6D	29.8	7.48	0.063	1.27	0.05	0.113	0	0.02	11.62962963	0.705936845
C1_7	31.9	7.03	0.06172	2.156	0.5	0.24	0.021	0.004	7.00952381	0.844453321
C1_7D	32.6	8.74	0.13232	2.546	0.1	0.343	0	0.047	11.32743363	0.650845894
C1_8	29.2	8.74	0.12644	1.017	0.45	1.124	0	0.023	58.46153846	0.444708961
C1_8D	27.9	8.68	0.03124	5.16	0.65	0.562	0.023	0.08	23.6583	0.363428311
C1_9	31.8	9.51	0.18892	3.583	0.05	0.468	0	0.139	26.51851852	0.493417326
C1_9D	29.7	8.01	0.88164	1.527	0.258	0.225	0.01392	0.04484	3.407407407	0.314922198
C1_10	27.5	8.37	0.12128	1.32	0.226	0.185	0.615	0.01924	5.79047619	0.573984264
C1_10D	19.6	8.11	0.12404	0.91	0.27	0.097	0.009	0.019	2.7	0.894458414
C1_11	16.6	8.35	0.089	2.55	1.65	0.118	0.07	0.066	3.2	0.936848064
C1_11D	13.5	9.05	0.112	2.2	1.33	0.114	0.045	0.004	4.2	1.070602303
C1_12	12	8.87	0.064	1.66	0.872	0.111	0.025	0.037	4.5	1.014799986
C1_12D	10.5	8.74	0.05	1.83	0.983	0.149	0.023	0.007	3.6	0.930077956
